id,title,text,references
14,"Mental Health & Substance Use Disorders","Overview: Depression, bipolar, opioid/alcohol use disorders can drive readmission if not addressed. Key: (1) Integrate mental health screening, (2) Link to outpatient therapy/addiction services, (3) Medication-assisted treatment for OUD, (4) Social work for housing/rehab.","SAMHSA; https://www.samhsa.gov/"
15,"LACE Index for Readmission Risk","Definition: LACE = Length of stay, Acuity, Comorbidity (CCI), ED visits. Scores ≥10 indicate high risk. Practice: (1) Calculate pre-discharge, (2) Intensify transitions for high scores (follow-up calls, case management).","Van Walraven C et al. CMAJ. 2010;182(6):551-7."
16,"Medication Therapy Management (MTM) & Brown Bag Reviews","Overview: Pharmacist-led comprehensive med review to find duplications/interactions. Process: (1) Patient brings all meds, (2) Reconcile & educate, (3) Updated list at discharge. Outcome: Fewer adverse events, better adherence.","American Pharmacists Association; https://www.pharmacist.com/"
17,"Post-Surgical Readmission Prevention","Focus: Cardiac, orthopedic, abdominal surgeries. Main Triggers: Infections, wound complications, poor follow-up. Key Steps: (1) Wound care education, (2) Pain management plan, (3) Recognize infection signs, (4) Follow-up within 1–2 weeks.","ACS Quality & Safety Programs; https://www.facs.org/quality-programs/"
18,"Readmission in Older Adults (Geriatric Considerations)","Overview: Multiple comorbidities, polypharmacy, cognitive/functional impairments. Strategies: (1) Geriatric assessment, (2) Deprescribing unnecessary meds, (3) Home safety/fall prevention, (4) Caregiver engagement. Goal: Fewer preventable readmissions.","American Geriatrics Society; https://www.americangeriatrics.org/"
19,"Post-Discharge Rehab & Home-Based Therapy","Definition: PT/OT or skilled nursing at home can aid functional recovery. Key Points: (1) Arrange therapy pre-discharge, (2) Home exercise education, (3) Tele-rehab if feasible, (4) Monitor ADLs for setbacks. Outcome: Enhanced function, reduced readmissions.","AHRQ: Postacute Care Interventions; https://effectivehealthcare.ahrq.gov/"
20,"Nutrition & Malnutrition Screening","Context: Malnutrition often underrecognized, contributes to readmissions. Recommendations: (1) Nutrition risk screening (e.g., MST), (2) Dietitian consult, (3) Discharge instructions on supplements/meal plans, (4) Outpatient nutrition follow-up. Impact: Better healing, fewer complications.","ASPEN (American Society for Parenteral & Enteral Nutrition); https://www.nutritioncare.org/"
21,"Atrial Fibrillation (AF) Management","Definition: Irregular heart rhythm raising stroke risk. Readmissions: Often from rapid AF or complications (heart failure, bleeding). Key Points: (1) Anticoagulation (CHA2DS2-VASc), (2) Rate/rhythm control, (3) Monitor for CHF, (4) Prompt follow-up to adjust meds.","ACC/AHA/HRS Guideline on Atrial Fibrillation; https://www.ahajournals.org/afib"
22,"Hypertension (ACC/AHA Guidelines)","Definition: Chronic elevated BP (≥130/80 mmHg per 2017 guidelines). Readmission Drivers: Poorly controlled BP leading to stroke, HF, CKD. Recommendations: (1) Clear BP targets, (2) Optimize med regimen (ACEi/ARB, thiazide, CCB), (3) Home BP monitoring, (4) Lifestyle (low-sodium diet, exercise).","ACC/AHA 2017 Guideline for High Blood Pressure in Adults; https://www.ahajournals.org/hypertension/"
23,"Acute Coronary Syndrome (ACS)","Context: Unstable angina or myocardial infarction. Readmission Factors: Recurrent chest pain, medication nonadherence, unresolved ischemia. Key Steps: (1) Dual antiplatelet therapy, (2) Beta-blockers, statins, (3) Cardiac rehab referral, (4) Early cardiology follow-up.","ACC/AHA Guidelines on Management of ACS; https://www.ahajournals.org/acs/"
24,"ESRD with Hemodialysis","Definition: End-stage renal disease requiring dialysis. Readmission Causes: Access complications, fluid overload, missed dialysis. Best Practices: (1) Vascular access care, (2) Strict fluid limits, (3) Coordinate dialysis schedule pre-discharge, (4) Rapid nephrology follow-up.","KDOQI Clinical Practice Guidelines for Hemodialysis; https://kidney.org/professionals/guidelines/"
25,"Chronic Liver Disease / Cirrhosis","Overview: Cirrhosis can lead to variceal bleeds, ascites, encephalopathy. Readmission Prevention: (1) Manage ascites with diuretics and paracentesis, (2) Screen for varices (endoscopy), (3) Lactulose/rifaximin for encephalopathy, (4) Nutrition consult, (5) Early GI/hepatology follow-up.","AASLD Practice Guidelines for Cirrhosis; https://www.aasld.org/"
26,"HIV/AIDS Care","Context: Immunocompromised patients susceptible to opportunistic infections and complications. Reduce Readmissions: (1) Strict ART adherence, (2) Prophylaxis for opportunistic infections if low CD4, (3) Social support for stigma and adherence, (4) ID specialist follow-up.","DHHS Guidelines for HIV/AIDS Care; https://clinicalinfo.hiv.gov/"
27,"Cancer - Chemotherapy-Related Readmissions","Scope: Chemo can cause neutropenia, infection, GI toxicities leading to ED visits/readmission. Key Points: (1) Outpatient management plan for fever/neutropenia, (2) Antiemetics for nausea, (3) Dose modifications if high toxicity, (4) Rapid oncology follow-up.","NCCN Clinical Practice Guidelines in Oncology; https://www.nccn.org/"
28,"Cancer - Radiation Therapy Side Effects","Context: Radiation can lead to skin reactions, mucositis, fatigue. Readmission Triggers: Severe mucositis, dehydration, unmanageable pain. Recommendations: (1) Early symptom management, (2) Nutritional support, (3) Wound care for skin reactions, (4) Frequent tele-checks during treatment.","ASTRO Radiation Oncology Guidelines; https://www.astro.org/"
29,"GI Bleeds","Definition: Upper or lower gastrointestinal hemorrhage. Common readmissions from re-bleeding or poor outpatient follow-up. Key Points: (1) Endoscopic evaluation, (2) H. pylori testing/treatment if indicated, (3) PPI therapy for ulcer, (4) Hematology consult if coagulopathy.","ACG Guidelines for GI Bleeding; https://gi.org/guidelines/"
30,"Sickle Cell Disease","Overview: Autosomal recessive disorder causing sickling crises, pain episodes, organ damage. Frequent hospital visits. Mitigate Readmissions: (1) Adequate pain management, (2) Hydroxyurea therapy if indicated, (3) Vaccinations, (4) Hematology follow-up for transfusion program.","NHLBI Sickle Cell Guidelines; https://www.nhlbi.nih.gov/"
31,"Dementia Management (Alzheimer’s or Other)","Overview: Cognitive impairment and behavioral changes can complicate post-discharge self-care. Prevention of Readmission: (1) Simplified medication regimens, (2) Involve family/caregivers, (3) Home safety checks, (4) Early follow-up with neurology/geriatrics.","Alzheimer’s Association; https://www.alz.org/"
32,"Delirium Prevention & Management","Context: Acute confusion in hospitalized patients; a risk factor for readmission if underlying causes not addressed. Key Points: (1) Identify triggers (meds, infection, environment), (2) Nonpharmacologic interventions (reorientation, sleep hygiene), (3) Manage pain appropriately, (4) Geriatric consult for recurrent cases.","AGS Clinical Guidelines for Delirium; https://www.americangeriatrics.org/"
33,"Asthma (GINA Guidelines)","Definition: Chronic inflammatory disease of the airways. Readmissions often due to severe exacerbations or poor controller use. Recommendations: (1) ICS-based controller therapy, (2) Correct inhaler technique, (3) Trigger avoidance, (4) Action plan with peak flow monitoring.","Global Initiative for Asthma (GINA); https://ginasthma.org/"
34,"Rheumatoid Arthritis (RA)","Context: Autoimmune joint inflammation that can lead to hospitalizations (joint infections, severe flares). Reducing Readmissions: (1) DMARD adherence (methotrexate, biologics), (2) Monitor infection risk, (3) PT/OT for joint function, (4) Rheumatology follow-up for flares.","ACR Guidelines for RA Management; https://rheumatology.org/"
35,"Inflammatory Bowel Disease (IBD)","Scope: Crohn’s disease & ulcerative colitis. Common Readmission Factors: Flares causing pain, GI bleeding, dehydration. Best Practices: (1) Immunomodulator/biologic adherence, (2) Monitor nutrition status, (3) Rapid access clinic for flares, (4) GI follow-up post-discharge.","ECCO IBD Guidelines; https://www.ecco-ibd.eu/"
36,"Morbid Obesity (Bariatric Considerations)","Context: BMI ≥40 or ≥35 with comorbidities can impact readmission risk for multiple conditions. Key Points: (1) Weight management plan, (2) Nutritional counseling, (3) Screen for OSA, (4) Evaluate for bariatric surgery if indicated.","ASMBS Guidelines for Metabolic & Bariatric Surgery; https://asmbs.org/"
37,"Post-Bariatric Surgery Follow-Up","Focus: Gastric bypass, sleeve gastrectomy; readmissions can occur from leaks, strictures, malnutrition. Recommendations: (1) Monitor hydration, (2) Vitamin/mineral supplementation, (3) Early detection of GI complications, (4) Scheduled bariatric team follow-up.","ASMBS Clinical Guidelines; https://asmbs.org/"
38,"Geriatric Frailty & Post-Hospital Syndrome","Definition: Frailty is a state of decreased physiologic reserve common in older adults. Increases vulnerability to readmission. Strategy: (1) Comprehensive geriatric assessment, (2) Nutritional support, (3) PT/OT for strength, (4) Minimize polypharmacy.","AGS (American Geriatrics Society); https://www.americangeriatrics.org/"
39,"Pressure Ulcer Prevention & Management","Context: Bed-bound or mobility-impaired patients at high risk. Reducing Readmissions: (1) Frequent repositioning, (2) Pressure-relieving mattresses, (3) Wound care consult, (4) Nutrition for skin integrity, (5) Home health checks.","NPUAP/EPUAP Pressure Ulcer Guidelines; https://www.epuap.org/"
40,"VTE Prophylaxis & Post-Thrombotic Syndrome","Overview: Venous thromboembolism (DVT/PE) risk increases hospital readmission if prophylaxis or treatment is suboptimal. Key Points: (1) Risk stratification, (2) LMWH or DOAC prophylaxis if indicated, (3) Patient education on signs of DVT/PE, (4) Follow-up for INR or DOAC checks.","ACCP Guidelines on Antithrombotic Therapy; https://www.chestnet.org/"
41,"Skilled Nursing Facility (SNF) Transitions","Context: Patients discharged to SNF often have multiple comorbidities. Risk of readmission if handoff is poor. Recommendations: (1) Send accurate medication & care plan, (2) Communicate functional baseline/goals, (3) Confirm SNF staff can handle complex needs, (4) Early follow-up calls.","CMS SNF Readmission Reduction Initiatives; https://www.cms.gov/"
42,"Substance Use (Opioid, Alcohol) & Readmission","Overview: Unaddressed SUD leads to detox, withdrawal, or relapse admissions. Strategies: (1) Screen with SBIRT, (2) Medication-assisted treatment for OUD, (3) Link to outpatient rehab/counseling, (4) Social work involvement for housing/financial resources.","SAMHSA TIP Series; https://www.samhsa.gov/tip"
43,"Transplant Patients (Solid Organs)","Definition: Post-transplant patients (kidney, liver, heart, lung) require immunosuppression. Readmission Drivers: Rejection episodes, infection, med nonadherence. Best Practices: (1) Strict immunosuppressant monitoring, (2) Infection prophylaxis, (3) Routine transplant clinic visits, (4) Patient/caregiver education.","ASTS (American Society of Transplant Surgeons) Guidelines; https://asts.org/"
44,"Occupational Therapy (OT) at Home","Context: OT addresses ADL/IADL deficits, critical for patients recovering from strokes, orthopedic surgeries, or chronic disabilities. Reducing Readmission: (1) Assess home environment, (2) Recommend adaptive equipment, (3) Teach energy conservation, (4) Early reevaluation post-discharge.","AOTA Home Health Practice; https://www.aota.org/"
45,"Hospice Transitions","Overview: Patients with terminal illnesses or advanced comorbidities may repeatedly cycle through hospital if goals of care are unclear. Key Steps: (1) Identify hospice eligibility, (2) Discuss advanced directives, (3) Coordinate with hospice agency, (4) Support family/caregivers.","NHPCO (National Hospice and Palliative Care Organization); https://www.nhpco.org/"
46,"Chronic Pain Management & Readmissions","Context: Inadequate pain control can lead to ED visits and re-hospitalizations. Strategies: (1) Multi-modal pain regimen, (2) Opioid contract if needed, (3) PT, cognitive-behavioral therapy, (4) Follow-up with pain clinic. Outcome: Fewer crisis admissions.","American Academy of Pain Medicine; https://painmed.org/"
47,"Orthopedic Readmissions (Hip/Knee Replacements)","Overview: Common elective procedures; readmissions often due to infection, DVT, inadequate rehab. Best Practices: (1) Prophylaxis for infection and VTE, (2) Early mobilization, (3) PT follow-up, (4) Pain control. Discharge: Teaching on wound care and safe ambulation.","AAOS Clinical Practice Guidelines; https://www.aaos.org/"
48,"Pediatric Readmissions","Definition: Children with complex medical needs (e.g., congenital heart disease, cystic fibrosis) have higher readmission rates. Considerations: (1) Family education on specialized care, (2) Pediatric home nursing if needed, (3) School-based support, (4) Multidisciplinary follow-up.","AAP (American Academy of Pediatrics) Guidelines; https://www.aap.org/"
49,"Hyperlipidemia & Secondary Prevention","Context: Dyslipidemia leads to CAD, stroke, peripheral vascular disease. Readmission reduction: (1) Statin therapy adherence, (2) Lifestyle changes (diet/exercise), (3) Monitor LDL periodically, (4) Encourage cardiac rehab if post-ACS.","ACC/AHA Guideline on the Management of Blood Cholesterol; https://www.ahajournals.org/cholesterol"
50,"Post-Hospital Syndrome","Definition: Temporary period of vulnerability following hospitalization; fatigue, disrupted sleep, stress can impair recovery. Mitigation: (1) Adequate rest and nutrition post-discharge, (2) Gradual activity resumption, (3) Telehealth check-ins for early problem detection.","NEJM Perspective on Post-Hospital Syndrome; doi:10.1056/NEJMp1212324"
51,"Chronic Obstructive Pulmonary Disease (COPD) Exacerbation Management","Overview: COPD exacerbations lead to increased morbidity and readmission rates. Key Strategies: (1) Optimize bronchodilator therapy, (2) Corticosteroids and antibiotics when indicated, (3) Smoking cessation support, (4) Pulmonary rehabilitation referral post-discharge.","GOLD Guidelines for COPD Management; https://goldcopd.org/"
52,"Congestive Heart Failure (CHF) Management","Definition: Congestive heart failure involves impaired heart function leading to fluid buildup. Readmission Prevention: (1) Optimize diuretic therapy, (2) Monitor electrolyte levels, (3) Patient education on daily weight monitoring, (4) Scheduled follow-up visits within 7 days.","ACC/AHA Heart Failure Guidelines; https://www.ahajournals.org/heartfailure"
53,"Pediatric Asthma Control and Readmission","Overview: Asthma is a leading cause of pediatric hospitalizations. Prevention Strategies: (1) Asthma action plans, (2) Regular follow-up with pediatric pulmonologist, (3) Education on trigger avoidance, (4) Proper inhaler technique training.","GINA Pediatric Asthma Guidelines; https://ginasthma.org/pediatric-asthma/"
54,"Hypertensive Crisis Management","Definition: Hypertensive crisis is severe elevation in blood pressure requiring immediate attention. Readmission Prevention: (1) Ensure proper antihypertensive medication adherence, (2) Patient education on BP monitoring, (3) Schedule follow-up appointments promptly, (4) Lifestyle modification counseling.","JNC 8 Guidelines on Hypertension; https://www.nhlbi.nih.gov/health-topics/high-blood-pressure"
55,"Acute Respiratory Distress Syndrome (ARDS)","Context: ARDS is a severe lung condition requiring intensive care. Readmission Reduction: (1) Implement lung-protective ventilation strategies, (2) Early mobilization in ICU, (3) Prevent ventilator-associated pneumonia, (4) Comprehensive discharge planning.","ARDS Network Ventilation Protocol; https://www.atsjournals.org/doi/full/10.1164/rccm.200604-559ST"
56,"Palliative Care Integration for Chronic Diseases","Overview: Integrating palliative care improves quality of life and reduces readmissions. Strategies: (1) Early palliative care consultation, (2) Advanced care planning, (3) Symptom management, (4) Coordination with outpatient services.","WHO Guidelines on Palliative Care; https://www.who.int/palliativecare/en/"
57,"Heart Valve Disease Management","Definition: Heart valve diseases include stenosis and regurgitation affecting cardiac function. Readmission Prevention: (1) Timely surgical interventions, (2) Optimize medical therapy, (3) Regular echocardiograms, (4) Patient education on symptoms.","ACC/AHA Valve Disease Guidelines; https://www.acc.org/latest-in-cardiology/guidelines"
58,"Trauma Patient Readmission Prevention","Context: Trauma patients are at risk for complications leading to readmission. Key Points: (1) Comprehensive initial assessment, (2) Early mobilization, (3) Infection prevention measures, (4) Follow-up with trauma surgery team.","Advanced Trauma Life Support (ATLS) Guidelines; https://www.aaos.org/trauma/"
59,"Peripheral Artery Disease (PAD) Management","Overview: PAD involves narrowed arteries reducing blood flow to limbs, increasing readmission risk due to complications. Strategies: (1) Smoking cessation, (2) Antiplatelet therapy, (3) Supervised exercise programs, (4) Regular vascular assessments.","ACC/AHA PAD Guidelines; https://www.ahajournals.org/doi/full/10.1161/CIR.0000000000000650"
60,"Obstructive Sleep Apnea (OSA) Treatment","Definition: OSA is characterized by repetitive episodes of upper airway obstruction during sleep. Readmission Prevention: (1) Continuous Positive Airway Pressure (CPAP) therapy adherence, (2) Weight management, (3) Surgical interventions if necessary, (4) Regular follow-up with sleep specialist.","American Academy of Sleep Medicine Guidelines; https://aasm.org/resources/factsheets/sleep-apnea/"
61,"Substance Use Disorder (SUD) Management","Overview: SUDs contribute to high readmission rates due to relapse and complications. Strategies: (1) Medication-assisted treatment (MAT), (2) Behavioral therapy, (3) Support group referrals, (4) Comprehensive discharge planning with addiction services.","SAMHSA Treatment Guidelines; https://www.samhsa.gov/medication-assisted-treatment"
62,"Gastrointestinal Bleeding (GI Bleed) Management","Definition: GI bleeds can be upper or lower, leading to hospitalization and potential readmission. Readmission Prevention: (1) Proper endoscopic intervention, (2) Proton pump inhibitor therapy, (3) H. pylori eradication if ulcer-related, (4) Patient education on symptom monitoring.","ACG Clinical Guidelines on GI Bleeding; https://gi.org/guidelines/"
63,"Post-Myocardial Infarction (MI) Care","Context: MI patients are at risk for readmission due to complications or secondary events. Prevention Strategies: (1) Dual antiplatelet therapy, (2) Beta-blockers and ACE inhibitors, (3) Lifestyle modification counseling, (4) Cardiac rehabilitation enrollment.","ACC/AHA MI Guidelines; https://www.ahajournals.org/doi/10.1161/CIR.0000000000000665"
64,"Seizure Disorder Management","Overview: Seizure disorders can lead to hospitalizations and readmissions if not well-controlled. Strategies: (1) Medication adherence, (2) Regular neurology follow-ups, (3) Seizure action plans, (4) Addressing triggers and comorbidities.","American Epilepsy Society Guidelines; https://www.aesnet.org/guidelines"
65,"Iron Deficiency Anemia Management","Definition: Iron deficiency anemia affects oxygen transport and can contribute to hospital readmissions. Prevention Strategies: (1) Iron supplementation, (2) Dietary counseling, (3) Treat underlying causes, (4) Regular hemoglobin monitoring.","WHO Guidelines on Anemia; https://www.who.int/nutrition/topics/ida/en/"
66,"Chronic Pain Syndromes and Readmission","Context: Chronic pain can lead to hospital visits due to exacerbations or complications. Readmission Prevention: (1) Multimodal pain management, (2) Cognitive-behavioral therapy, (3) Opioid stewardship programs, (4) Physical therapy referrals.","CDC Guidelines on Opioid Prescribing; https://www.cdc.gov/drugoverdose/prescribing/guideline.html"
67,"Gastric Ulcer Management","Overview: Gastric ulcers can lead to bleeding and hospitalization. Readmission Prevention: (1) Proton pump inhibitor therapy, (2) H. pylori eradication, (3) Avoid NSAIDs, (4) Regular follow-up endoscopies.","ACG Clinical Guidelines on Gastric Ulcers; https://gi.org/guidelines/gastric-ulcer-management/"
68,"Hepatitis C Treatment and Readmission","Definition: Chronic Hepatitis C infection can lead to liver complications increasing readmission risk. Strategies: (1) Direct-acting antivirals (DAAs) for cure, (2) Monitor liver function, (3) Regular hepatology follow-ups, (4) Patient education on transmission prevention.","CDC Hepatitis C Treatment Guidelines; https://www.cdc.gov/hepatitis/hcv/guidelines-treatments.html"
69,"Thyroid Disorders and Hospital Readmission","Overview: Hyperthyroidism and hypothyroidism can lead to complications requiring hospitalization. Prevention Strategies: (1) Optimize thyroid hormone therapy, (2) Regular thyroid function tests, (3) Patient education on symptom monitoring, (4) Manage comorbid conditions.","American Thyroid Association Guidelines; https://www.thyroid.org/thyroid-disorders/"
70,"Obesity-Related Readmission Risk","Context: Obesity increases risk for multiple comorbidities leading to readmissions. Prevention Strategies: (1) Comprehensive weight management programs, (2) Bariatric surgery if indicated, (3) Nutrition and physical therapy, (4) Regular follow-ups.","CDC Guidelines on Obesity Management; https://www.cdc.gov/obesity/"
71,"Post-Discharge Care Coordination","Definition: Effective coordination between hospital and outpatient care reduces readmission risks. Strategies: (1) Assign care coordinators, (2) Ensure clear communication of discharge instructions, (3) Schedule follow-up appointments before discharge, (4) Use electronic health records for seamless information sharing.","AHRQ Care Coordination Guidelines; https://www.ahrq.gov/care-coordination.html"
72,"Advanced Heart Failure Management","Overview: Advanced heart failure patients have high readmission risks due to decompensation. Prevention Strategies: (1) Heart transplant evaluation, (2) LVAD implantation if suitable, (3) Palliative care integration, (4) Frequent monitoring and follow-ups.","ESC Advanced Heart Failure Guidelines; https://www.escardio.org/"
73,"Hepatic Encephalopathy Prevention","Definition: HE is a decline in brain function due to liver disease, leading to readmissions. Strategies: (1) Lactulose therapy, (2) Rifaximin use, (3) Dietary protein management, (4) Regular neurologic assessments.","AASLD Guidelines on HE; https://www.aasld.org/publications"
74,"Psychiatric Disorders and Readmission","Context: Mental health disorders can complicate hospital care, increasing readmission risks. Prevention: (1) Integrated psychiatric care, (2) Medication management, (3) Therapy and counseling, (4) Support groups and community resources.","APA Guidelines on Psychiatric Care; https://www.psychiatry.org/"
75,"Urinary Tract Infections (UTIs) Management","Overview: UTIs are common causes of hospital readmission, especially in elderly patients. Prevention Strategies: (1) Appropriate antibiotic use, (2) Catheter care and removal, (3) Patient education on hygiene, (4) Regular follow-ups for recurrent UTIs.","IDSA Guidelines on UTIs; https://www.idsociety.org/guidelines/urinary-tract-infections/"
76,"Osteoporosis Management and Readmission","Definition: Osteoporosis increases fracture risk, leading to hospitalizations. Readmission Prevention: (1) Bisphosphonate therapy, (2) Fall prevention programs, (3) Calcium and vitamin D supplementation, (4) Regular bone density screenings.","NOF Guidelines on Osteoporosis; https://www.nof.org/guidelines/"
77,"Post-Cardiac Surgery Care","Context: Patients undergoing cardiac surgery are at risk for readmissions due to complications. Strategies: (1) Monitor for arrhythmias, (2) Optimize anticoagulation, (3) Ensure proper wound care, (4) Schedule early follow-up visits.","ACC Guidelines on Cardiac Surgery; https://www.acc.org/guidelines"
78,"Cancer Pain Management","Overview: Proper pain control in cancer patients reduces hospitalizations and readmissions. Prevention Strategies: (1) Opioid and non-opioid analgesics, (2) Multidisciplinary pain teams, (3) Patient education on pain management, (4) Regular pain assessments.","NCCN Guidelines on Cancer Pain; https://www.nccn.org/guidelines/"
79,"Venous Thromboembolism (VTE) Prophylaxis","Definition: VTE includes DVT and PE, leading to severe complications and readmissions if not prevented. Strategies: (1) Pharmacologic prophylaxis with heparin, (2) Mechanical prophylaxis with compression devices, (3) Early mobilization post-surgery, (4) Patient education on mobility.","ACC/AHA VTE Guidelines; https://www.ahajournals.org/"
80,"Post-Intensive Care Unit (ICU) Syndrome","Context: Patients discharged from ICU often experience physical and psychological challenges increasing readmission risk. Prevention Strategies: (1) ICU follow-up clinics, (2) Physical rehabilitation, (3) Mental health support, (4) Comprehensive discharge planning.","AHRQ Post-ICU Syndrome Guidelines; https://www.ahrq.gov/care-coordination/post-icu.html"
81,"Nephrotic Syndrome Management","Overview: Nephrotic syndrome involves significant proteinuria, increasing infection and thrombosis risks leading to readmissions. Strategies: (1) Use of ACE inhibitors or ARBs, (2) Diuretic therapy for edema, (3) Statin therapy if indicated, (4) Regular monitoring of renal function.","KDIGO Nephrotic Syndrome Guidelines; https://kdigo.org/guidelines/"
82,"Chronic Pancreatitis Care","Definition: Chronic pancreatitis involves long-term inflammation of the pancreas, leading to pain and malabsorption, increasing readmission risks. Prevention Strategies: (1) Pain management with opioids or nerve blocks, (2) Enzyme replacement therapy, (3) Abstinence from alcohol and smoking, (4) Nutritional support.","AGA Guidelines on Chronic Pancreatitis; https://www.gastro.org/guidelines"
83,"Peripheral Neuropathy Care","Overview: Peripheral neuropathy can lead to falls and injuries, increasing readmission risks. Strategies: (1) Glycemic control in diabetic neuropathy, (2) Pain management, (3) Physical therapy for balance and strength, (4) Patient education on foot care.","ADA Peripheral Neuropathy Guidelines; https://www.diabetes.org/"
84,"Scoliosis Management in Adults","Definition: Adult scoliosis can cause back pain and mobility issues, leading to hospitalizations. Prevention Strategies: (1) Physical therapy for pain and mobility, (2) Bracing if indicated, (3) Surgical evaluation for severe cases, (4) Regular monitoring and follow-ups.","Scoliosis Research Society Guidelines; https://www.srs.org/"
85,"Temporal Arteritis Management","Context: Temporal arteritis can lead to vision loss and requires prompt treatment to prevent complications. Strategies: (1) High-dose corticosteroids, (2) Regular ophthalmologic evaluations, (3) Patient education on symptom recognition, (4) Taper steroids carefully to avoid relapse.","AAH Guidelines on Temporal Arteritis; https://www.arthritis.org/"
86,"Acute Pancreatitis Complications Prevention","Overview: Acute pancreatitis can lead to severe complications like necrosis and organ failure, increasing readmission risk. Prevention Strategies: (1) Early fluid resuscitation, (2) Nutritional support, (3) Monitor for complications, (4) Minimize alcohol intake and manage gallstones.","AGA Guidelines on Acute Pancreatitis; https://www.gastro.org/guidelines"
